uid,movie_title,movie_director,movie_sumary,movie_rating,movie_gender,movie_duration,movie_year,movie_host_uid
34,Borat,Larry Charles,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying , .",7.3,Comedy,1h 24min,2006,imdb
35,Zardoz,John Boorman,"In the distant future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanitys achievements.",5.9,"Adventure, Fantasy, Sci-Fi",1h 45min,1974,imdb
36,El legado del diablo,Ari Aster,A grieving family is haunted by tragic and disturbing occurrences.,7.3,"Drama, Horror, Mystery",2h 7min,2018,imdb
37,It,Andy Muschietti,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3,Horror,2h 15min,2017,imdb
38,Emma.,Autumn de Wilde,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.",6.7,"Comedy, Drama, Romance",2h 4min,2020,imdb
39,The New Mutants,Josh Boone,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.4,"Action, Horror, Sci-Fi",1h 34min,2020,imdb
40,Los caballeros: criminales con clase,Guy Ritchie,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8,"Action, Comedy, Crime",1h 53min,2019,imdb
41,365 dni,"Barbara Bialowas', 'Tomasz Mandes","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",3.3,"Drama, Romance",1h 54min,2020,imdb
42,The League of Extraordinary Gentlemen,Stephen Norrington,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.",5.8,"Action, Adventure, Fantasy",1h 50min,2003,imdb
43,Spell,Mark Tonderai,A man crash lands in rural Appalachia and awakens in the attic of a traditional Hoodoo practitioner. He desperately tries to break free from her dark magic and save his family from a sinister ritual before the rise of the blood moon.,5.3,"Horror, Thriller",1h 31min,2020,imdb
44,W lesie dzis nie zasnie nikt,Bartosz M. Kowalski,A slasher film where a group of teenagers arrive at a survival camp where they clash with two deformed cannibals.,4.8,"Horror, Thriller",1h 42min,2020,imdb
45,On the Rocks,Sofia Coppola,A young mother reconnects with her larger-than-life playboy father on an adventure through New York.,6.5,"Adventure, Comedy, Drama",1h 36min,2020,imdb
46,Beetle Juice,Tim Burton,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",7.5,"Comedy, Fantasy",1h 32min,1988,imdb
47,Doctor Sueño,Mike Flanagan,"Years following the events of ,  (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",7.3,"Drama, Fantasy, Horror",2h 32min,2019,imdb
48,"""Harry Potter and the Sorcerers Stone""",Chris Columbus,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,"Adventure, Family, Fantasy",2h 32min,2001,imdb
49,The VVitch: A New-England Folktale,Robert Eggers,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.",6.9,"Drama, Horror, Mystery",1h 32min,2015,imdb
