movie_director,movie_duration,movie_gender,movie_rating,movie_sumary,movie_title,movie_year
['Larry Charles'],['\n                        1h 24min\n                    '],['Comedy'],['7.3'],"['\n                    Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying ', '.\n            ']",['Borat\xa0'],['2006']
['John Boorman'],['\n                        1h 45min\n                    '],"['Adventure', 'Fantasy', 'Sci-Fi']",['5.9'],"[""\n                    In the distant future, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.\n            ""]",['Zardoz\xa0'],['1974']
['Ari Aster'],['\n                        2h 7min\n                    '],"['Drama', 'Horror', 'Mystery']",['7.3'],['\n                    A grieving family is haunted by tragic and disturbing occurrences.\n            '],['El legado del diablo\xa0'],['2018']
['Andy Muschietti'],['\n                        2h 15min\n                    '],['Horror'],['7.3'],"['\n                    In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.\n            ']",['It\xa0'],['2017']
['Autumn de Wilde'],['\n                        2h 4min\n                    '],"['Comedy', 'Drama', 'Romance']",['6.7'],"['\n                    In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.\n            ']",['Emma.\xa0'],['2020']
['Josh Boone'],['\n                        1h 34min\n                    '],"['Action', 'Horror', 'Sci-Fi']",['5.4'],"['\n                    Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.\n            ']",['The New Mutants\xa0'],['2020']
['Guy Ritchie'],['\n                        1h 53min\n                    '],"['Action', 'Comedy', 'Crime']",['7.8'],"['\n                    An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.\n            ']",['Los caballeros: criminales con clase\xa0'],['2019']
"['Barbara Bialowas', 'Tomasz Mandes']",['\n                        1h 54min\n                    '],"['Drama', 'Romance']",['3.3'],"['\n                    Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.\n            ']",['365 dni\xa0'],['2020']
['Stephen Norrington'],['\n                        1h 50min\n                    '],"['Action', 'Adventure', 'Fantasy']",['5.8'],"['\n                    In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.\n            ']",['The League of Extraordinary Gentlemen\xa0'],['2003']
['Mark Tonderai'],['\n                        1h 31min\n                    '],"['Horror', 'Thriller']",['5.3'],['\n                    A man crash lands in rural Appalachia and awakens in the attic of a traditional Hoodoo practitioner. He desperately tries to break free from her dark magic and save his family from a sinister ritual before the rise of the blood moon.\n            '],['Spell\xa0'],['2020']
['Bartosz M. Kowalski'],['\n                        1h 42min\n                    '],"['Horror', 'Thriller']",['4.8'],['\n                    A slasher film where a group of teenagers arrive at a survival camp where they clash with two deformed cannibals.\n            '],['W lesie dzis nie zasnie nikt\xa0'],['2020']
['Sofia Coppola'],['\n                        1h 36min\n                    '],"['Adventure', 'Comedy', 'Drama']",['6.5'],['\n                    A young mother reconnects with her larger-than-life playboy father on an adventure through New York.\n            '],['On the Rocks\xa0'],['2020']
['Tim Burton'],['\n                        1h 32min\n                    '],"['Comedy', 'Fantasy']",['7.5'],"['\n                    The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.\n            ']",['Beetle Juice\xa0'],['1988']
['Mike Flanagan'],['\n                        2h 32min\n                    '],"['Drama', 'Fantasy', 'Horror']",['7.3'],"['\n                    Years following the events of ', ' (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.\n            ']",['Doctor Sueño\xa0'],['2019']
['Chris Columbus'],['\n                        2h 32min\n                    '],"['Adventure', 'Family', 'Fantasy']",['7.6'],"['\n                    An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.\n            ']","[""Harry Potter and the Sorcerer's Stone\xa0""]",['2001']
['Robert Eggers'],['\n                        1h 32min\n                    '],"['Drama', 'Horror', 'Mystery']",['6.9'],"['\n                    A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.\n            ']",['The VVitch: A New-England Folktale\xa0'],['2015']
['Ari Aster'],['\n                        2h 28min\n                    '],"['Drama', 'Horror', 'Mystery']",['7.1'],"[""\n                    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.\n            ""]",['Midsommar: el terror no espera la noche\xa0'],['2019']
['James McTeigue'],['\n                        2h 12min\n                    '],"['Action', 'Drama', 'Sci-Fi']",['8.2'],"['\n                    In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.\n            ']",['V de venganza\xa0'],['2005']
['Guy Hamilton'],['\n                        1h 50min\n                    '],"['Action', 'Adventure', 'Thriller']",['7.7'],"[""\n                    While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.\n            ""]",['007 contra Goldfinger\xa0'],['1964']
['Rian Johnson'],['\n                        2h 10min\n                    '],"['Comedy', 'Crime', 'Drama']",['7.9'],"['\n                    A detective investigates the death of a patriarch of an eccentric, combative family.\n            ']",['Entre navajas y secretos\xa0'],['2019']
['Stanley Kubrick'],['\n                        2h 26min\n                    '],"['Drama', 'Horror']",['8.4'],"['\n                    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.\n            ']",['The Shining\xa0'],['1980']
['Derrick Borte'],['\n                        1h 30min\n                    '],"['Action', 'Thriller']",['6.0'],"['\n                    After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.\n            ']",['Unhinged\xa0'],['2020']
['Bong Joon Ho'],['\n                        2h 12min\n                    '],"['Comedy', 'Drama', 'Thriller']",['8.6'],['\n                    Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.\n            '],['Parásito\xa0'],['2019']
['John McTiernan'],['\n                        2h 15min\n                    '],"['Action', 'Adventure', 'Thriller']",['7.6'],"[""\n                    In November 1984, the Soviet Union's best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?\n            ""]",['The Hunt for Red October\xa0'],['1990']
['Steven Spielberg'],['\n                        2h 7min\n                    '],"['Action', 'Adventure']",['8.2'],"['\n                    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against ', ""'s Nazis again to stop them from obtaining its powers.\n            ""]",['Indiana Jones and the Last Crusade\xa0'],['1989']
['Wes Craven'],['\n                        1h 51min\n                    '],"['Horror', 'Mystery']",['7.2'],"['\n                    A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.\n            ']",['Scream\xa0'],['1996']
['Quentin Tarantino'],['\n                        2h 41min\n                    '],"['Comedy', 'Drama']",['7.6'],"[""\n                    A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.\n            ""]",['Había una vez en Hollywood\xa0'],['2019']
"['Lee Unkrich', 'Adrian Molina']",['\n                        1h 45min\n                    '],"['Animation', 'Adventure', 'Family']",['8.4'],"[""\n                    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.\n            ""]",['Coco\xa0'],['2017']
['Jean-Jacques Annaud'],['\n                        2h 10min\n                    '],"['Crime', 'Drama', 'Mystery']",['7.7'],['\n                    An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.\n            '],['Der Name der Rose\xa0'],['1986']
['Irvin Kershner'],['\n                        2h 14min\n                    '],"['Action', 'Adventure', 'Thriller']",['6.2'],"['\n                    A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.\n            ']",['Never Say Never Again\xa0'],['1983']
['Cary Joji Fukunaga'],['\n                        2h 43min\n                    '],"['Action', 'Adventure', 'Thriller']",[],"['\n                    James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.\n            ']",['No Time to Die\xa0'],['2021']
['Francis Ford Coppola'],['\n                        2h 55min\n                    '],"['Crime', 'Drama']",['9.2'],['\n                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.\n            '],['El Padrino\xa0'],['1972']
['Russell Mulcahy'],['\n                        1h 56min\n                    '],"['Action', 'Adventure', 'Fantasy']",['7.1'],"['\n                    An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize"".\n            ']",['Highlander\xa0'],['1986']
['Andy Muschietti'],['\n                        2h 49min\n                    '],"['Drama', 'Fantasy', 'Horror']",['6.5'],"['\n                    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.\n            ']",['It capítulo 2\xa0'],['2019']
['Tim Hill'],['\n                        1h 31min\n                    '],"['Animation', 'Adventure', 'Comedy']",['6.2'],"[""\n                    After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.\n            ""]",['The SpongeBob Movie: Sponge on the Run\xa0'],['2020']
['Andrew Fleming'],['\n                        1h 41min\n                    '],"['Drama', 'Fantasy', 'Horror']",['6.4'],"['\n                    A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.\n            ']",['The Craft\xa0'],['1996']
['Barry Sonnenfeld'],['\n                        1h 34min\n                    '],"['Comedy', 'Fantasy']",['6.8'],"['\n                    The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.\n            ']",['Addams Family Values\xa0'],['1993']
['Terence Young'],['\n                        1h 55min\n                    '],"['Action', 'Adventure', 'Thriller']",['7.4'],['\n                    James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.\n            '],['From Russia with Love\xa0'],['1963']
['Tobe Hooper'],['\n                        1h 54min\n                    '],"['Horror', 'Thriller']",['7.3'],"[""\n                    A family's home is haunted by a host of demonic ghosts.\n            ""]",['Poltergeist\xa0'],['1982']
['Sam Mendes'],['\n                        1h 59min\n                    '],"['Drama', 'War']",['8.3'],"['\n                    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.\n            ']",['1917\xa0'],['2019']
['Niki Caro'],['\n                        1h 55min\n                    '],"['Action', 'Adventure', 'Drama']",['5.4'],['\n                    A young Chinese maiden disguises herself as a male warrior in order to save her father.\n            '],['Mulan\xa0'],['2020']
['Christopher Landon'],['\n                        1h 41min\n                    '],"['Comedy', 'Horror', 'Thriller']",['6.7'],"['\n                    After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.\n            ']",['Freaky\xa0'],['2020']
['Jonathan Lynn'],['\n                        1h 34min\n                    '],"['Comedy', 'Crime', 'Mystery']",['7.3'],"['\n                    Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.\n            ']",['Clue\xa0'],['1985']
